Source,Date,Author,Comment
FS2UrMAx494,11-05-2022,D_touch'maboii,สารภาพค่ะว่าร้องไห้ เป็นทุกรอบได้เล่นทุกรอบ เป็นหนูคือปิดเกมแล้ว 😭
FS2UrMAx494,11-05-2022,ผม มา,หลังวันเกิดทั้งที เกมจัดเป็ดให้พี่แบบรัวๆเลยน้า5
FS2UrMAx494,11-05-2022,chepumpkin  ,ไม่ได้หยุดขำเลยพี่ สู้ชีวิ้ด5
FS2UrMAx494,11-05-2022,ไรเดอร์ชิน - Rider Chin,สตีมนี้ชีวิตสู้กลับหนักมาก
FS2UrMAx494,11-05-2022,Heman Senayod,โครตค คอนเทนท์ 5
FS2UrMAx494,11-05-2022,Iieyelgu Nis,จะบอกว่าคลิปนี้ จะขิตหลายรอบมากไม่ไหว
FS2UrMAx494,11-05-2022,XEON,3:14:28 ฮาพี่กาย
FS2UrMAx494,11-05-2022,Omieeeeko,1:11:53 พาพี่อาร์มไปดูหมอก 5
FS2UrMAx494,10-05-2022,หรรมหลวง เองจ้า,ท่านรมต.เป็นเป็ดโคตรบ่อย5 ปล.ตั้งโรลเป็นเป็ด3กลาง4จะลงตัวมากเลยครับคุณเอก
FS2UrMAx494,10-05-2022,หรรมหลวง เองจ้า,ท่าน รมต.โหดเหี้ยมมาก ฆ่าสายพันธุ์เดียวกันเพื่อซื้อใจ (แต่จริงๆแล้วท่านรมต.ตกใจ)5
FS2UrMAx494,10-05-2022,Kaewta Chainan,พี่เอกเป็นเป็ดงุ้ย เล่นเซียนจ้าด
FS2UrMAx494,10-05-2022,ᴘ ᴀ ɴ ɢ ᴀ ᴜ ɴ 🐳,เหมือนมีบางสิ่งมาล่วงชิงไป 🤣🤣 คำพูด
FS2UrMAx494,10-05-2022,cheng cheng,"2:48:14 let me regame3:00:00 บางอย่าง บางสิ่ง การช่วงชิง3:10:03 dying message3:23:53 the reason why zylnazter want to ordain3:27:00 everything รุมเร้า3:32:33 do u wanna know where love is? it’s heremoreover, happee birthdae na ka ♡"
FS2UrMAx494,10-05-2022,blue berry,7.8 แล้ว
FS2UrMAx494,10-05-2022,Aoo0in,03:32:46 โครตน่ารัก5
FS2UrMAx494,10-05-2022,เปรมกมลชัย หลายพา,วร
FS2UrMAx494,10-05-2022,•Thai-Barley•P_Webestlove•,เกมรอบนี้พี่เอกสุดมากเป็นเป็ดทุกรอบ อัศจรรย์มากจริงๆของรอบนี้ 👍
FS2UrMAx494,10-05-2022,Phattharathida Suwanmolee,วันเกิดน้องเหมือนกัน แถมซวยเหมือนกันเลยพี่
FS2UrMAx494,10-05-2022,Sarin Rommy,พีีอาร์มแฮคแหละ 5
FS2UrMAx494,10-05-2022,mamamiiyyy,มาย้อนค่า  สวยอย่างโลน
FS2UrMAx494,10-05-2022,ปวริศ หลีตระกูล,แล้วผมโดนชื่อสตีมกับทามแสตมป์หลอกจริ๊ง
FS2UrMAx494,10-05-2022,Mr. Chowkuy,เป็นวันของพี่เอกจริงๆ6544554525
FS2UrMAx494,10-05-2022,Nice Bii,2:59:38 จินนี่จ๋า 5
FS2UrMAx494,10-05-2022,Sosai Sirinya,โถ่วพี่เอก เป็นวันที่พี่เอกสู้ชีวิตมาก เเต่ชีวิตสู้กลับหนักมาก 5
FS2UrMAx494,10-05-2022,397 ณัฐดนัย ศักดิ์ศรีไพจิตร์,hbd ครับพรี่
FS2UrMAx494,10-05-2022,Junko Poyoko,เมื่อพี่เอกสู้เกม เเต่โดนเกมสู้กลับ 5
FS2UrMAx494,10-05-2022,Freshy Kwanjira,ย้อนดูแล้วสงสารพี่เอกจับใจเลยอะ ขำน้ำตาไหล 🤣
FS2UrMAx494,10-05-2022,somlux555,อยากกอดโอ๋พี่เอก เป็ดนานๆทีจะเป็นก็ไม่ได้เล่น ท้ายๆคลิปยิ่งอยากกอดโอ๋ตัดพ้อก็แล้วเปลี่ยนสีเปลี่ยนชุดก็แล้ว 5
FS2UrMAx494,10-05-2022,Fovin,AA
